monto,monedas,tiempo_s
1,1,1.1500000255182385e-05
2,2,1.650000922381878e-05
3,3,1.200000406242907e-05
4,4,1.2699980288743973e-05
5,1,1.3600016245618463e-05
6,2,1.5200028428807855e-05
7,3,1.8399994587525725e-05
8,4,2.1799991372972727e-05
9,5,2.4300010409206152e-05
10,1,2.9999995604157448e-05
11,2,3.609998384490609e-05
12,3,7.499998901039362e-05
13,4,4.339998122304678e-05
14,5,6.3000014051795e-05
15,2,6.399999256245792e-05
16,3,0.0001283000165130943
17,4,0.00011920000542886555
18,5,0.00018820000695995986
19,6,0.00021129997912794352
20,2,0.00030590000096708536
21,3,0.00038189999759197235
22,4,0.0005412000173237175
23,5,0.0007259999983943999
24,6,0.0011044999992009252
25,1,0.0015782999980729073
26,2,0.0017985000158660114
27,3,0.0027456999814603478
28,4,0.0032547999871894717
29,5,0.006393799994839355
30,2,0.007811899995431304
